,ds,y
621,2016-06-23,48.68
622,2016-06-24,48.18
623,2016-06-27,46.69
624,2016-06-28,46.29
625,2016-06-29,48.4
626,2016-06-30,45.07
627,2016-07-01,46.29
628,2016-07-05,45.64
629,2016-07-06,45.7
630,2016-07-07,48.02
631,2016-07-08,45.64
632,2016-07-11,44.53
633,2016-07-12,46.72
634,2016-07-13,44.67
635,2016-07-14,44.04
636,2016-07-15,46.72
637,2016-07-18,46.25
638,2016-07-19,45.7
639,2016-07-20,45.82
640,2016-07-21,45.35
641,2016-07-22,45.7
642,2016-07-25,44.24
643,2016-07-26,43.56
644,2016-07-27,42.78
645,2016-07-28,43.76
646,2016-07-29,43.56
647,2016-08-01,40.76
648,2016-08-02,40.0
649,2016-08-03,40.45
650,2016-08-04,40.17
651,2016-08-05,40.0
652,2016-08-08,42.47
653,2016-08-09,43.37
654,2016-08-10,42.19
655,2016-08-11,43.24
656,2016-08-12,43.37
657,2016-08-15,45.12
658,2016-08-16,48.27
659,2016-08-17,48.58
660,2016-08-18,47.31
661,2016-08-19,48.27
662,2016-08-22,49.39
663,2016-08-23,48.7
664,2016-08-24,47.56
665,2016-08-25,48.1
666,2016-08-26,48.7
667,2016-08-29,49.66
668,2016-08-30,47.94
669,2016-08-31,47.94
670,2016-09-01,49.66
671,2016-09-02,47.94
672,2016-09-06,46.21
673,2016-09-07,47.0
674,2016-09-08,46.72
675,2016-09-09,46.21
676,2016-09-12,48.37
677,2016-09-13,47.82
678,2016-09-14,45.65
679,2016-09-15,47.82
680,2016-09-16,46.48
681,2016-09-19,45.26
682,2016-09-20,45.24
683,2016-09-21,45.99
684,2016-09-22,46.04
685,2016-09-23,45.24
686,2016-09-26,46.71
687,2016-09-27,44.95
688,2016-09-28,45.49
689,2016-09-29,46.61
690,2016-09-30,44.95
691,2016-10-03,48.24
692,2016-10-04,48.81
693,2016-10-05,49.57
694,2016-10-06,48.61
695,2016-10-07,48.81
696,2016-10-11,50.48
697,2016-10-12,49.53
698,2016-10-13,51.54
699,2016-10-14,50.48
700,2016-10-17,48.87
701,2016-10-18,49.81
702,2016-10-19,51.85
703,2016-10-20,49.31
704,2016-10-21,49.81
705,2016-10-24,50.28
706,2016-10-25,49.08
707,2016-10-26,48.98
708,2016-10-27,49.8
709,2016-10-28,49.08
710,2016-10-31,47.78
711,2016-11-01,45.77
712,2016-11-02,44.26
713,2016-11-03,46.2
714,2016-11-04,45.77
715,2016-11-07,43.06
716,2016-11-08,43.47
717,2016-11-09,43.88
718,2016-11-10,42.83
719,2016-11-14,41.61
720,2016-11-15,44.15
721,2016-11-16,45.07
722,2016-11-17,41.83
723,2016-11-18,44.15
724,2016-11-21,44.41
725,2016-11-22,46.1
726,2016-11-23,46.54
727,2016-11-25,46.1
728,2016-11-28,46.32
729,2016-11-29,44.68
730,2016-11-30,47.95
731,2016-12-01,46.64
732,2016-12-02,44.68
733,2016-12-05,52.35
734,2016-12-06,52.31
735,2016-12-07,51.9
736,2016-12-08,53.3
737,2016-12-09,52.31
738,2016-12-12,52.19
739,2016-12-13,53.28
740,2016-12-14,53.15
741,2016-12-15,53.99
742,2016-12-16,53.28
743,2016-12-19,54.15
744,2016-12-20,54.56
745,2016-12-21,53.01
746,2016-12-22,53.53
747,2016-12-23,54.56
748,2016-12-27,53.93
749,2016-12-28,53.93
750,2016-12-29,54.95
751,2016-12-30,53.93
752,2017-01-03,55.05
753,2017-01-04,54.57
754,2017-01-05,54.99
755,2017-01-06,55.05
756,2017-01-09,55.9
757,2017-01-10,53.2
758,2017-01-11,53.61
759,2017-01-12,54.39
760,2017-01-13,53.2
761,2017-01-17,54.68
762,2017-01-18,53.77
763,2017-01-19,54.3
764,2017-01-20,54.68
765,2017-01-23,55.04
766,2017-01-24,54.7
767,2017-01-25,54.34
768,2017-01-26,54.8
769,2017-01-27,54.7
770,2017-01-30,54.8
771,2017-01-31,55.25
772,2017-02-01,55.79
773,2017-02-02,54.77
774,2017-02-03,55.25
775,2017-02-06,55.92
776,2017-02-07,53.79
777,2017-02-08,54.42
778,2017-02-09,55.02
779,2017-02-10,53.79
780,2017-02-13,55.2
781,2017-02-14,54.96
782,2017-02-15,54.57
783,2017-02-16,54.15
784,2017-02-17,54.96
785,2017-02-21,56.34
786,2017-02-22,55.25
787,2017-02-23,56.34
788,2017-02-24,54.9
789,2017-02-27,54.65
790,2017-02-28,53.36
